Product Title,Author Name,Product Price,Discount Percentage,Product MRP,Ratings of 5 stars,Number of Ratings
I Don't Love You Anymore: Moving On & Living Your Best Life Paperback – 13 February 2024,Rithvik Singh,Rs.Not found,Discount not found,MRP price not found,4.5,93 ratings
RAM C/O ANANDHI Paperback – 1 January 2020,AKHIL P DHARMAJAN,Rs.Not found,Discount not found,MRP price not found,4.5,230 ratings
"MINtile Sank Magic Practice Copybook, (4 Book + 10 Refill) Number Tracing Book for Preschoolers with Pen, Magic Calligraphy Copybook Set Practical Reusable Writing Tool Simple Hand Lettering Spiral-bound – 11 December 2022",Sank Magic,Rs.Not found,Discount not found,MRP price not found,4.0,"1,386 ratings"
11 Rules For Life: Secrets to Level Up Paperback – 26 February 2024,Chetan Bhagat,Rs.Not found,Discount not found,MRP price not found,4.8,42 ratings
Professor Ki Diary Paperback – 28 January 2024,Dr. Laxman Yadav,Rs.Not found,Discount not found,MRP price not found,4.8,163 ratings
Atomic Habits : the life-changing million-copy #1 bestseller Paperback – 1 January 2018,James Clear,Rs.Not found,Discount not found,MRP price not found,4.6,"90,726 ratings"
Own Your Body: A Doctor's Life-saving Tips Paperback – 24 January 2024,Dr. Shiv K Sarin,Rs.Not found,Discount not found,MRP price not found,4.5,22 ratings
"My First Library: Boxset of 10 Board Books for Kids Board book – Box set, 1 January 2018",Wonder House Books,Rs.Not found,Discount not found,MRP price not found,4.5,"75,961 ratings"
Indian Polity for UPSC (English)|7th Edition|Civil Services Exam| State Administrative Exams Paperback – 15 July 2023,M Laxmikanth,Rs.Not found,Discount not found,MRP price not found,4.6,"1,288 ratings"
Maths RPF Warrior by Aditya Ranjan Sir Paperback – 16 February 2024,Aditya Ranjan Sir,Rs.Not found,Discount not found,MRP price not found,Rating not found,Number of ratings not found
Ikigai Hardcover – 27 September 2017,Francesc Miralles,Rs.Not found,Discount not found,MRP price not found,4.6,"53,146 ratings"
BRAHMASTRA Complete Maths Multicolored Formula Book Second Edition BILINGUAL by Aditya Ranjan Sir Paperback – 18 October 2023,Aditya Ranjan Sir,Rs.Not found,Discount not found,MRP price not found,4.5,"1,031 ratings"
The Power of Your Subconscious Mind: Original Edition | Premium Paperback Paperback – 12 October 2020,Joseph Murphy,Rs.Not found,Discount not found,MRP price not found,4.5,"81,684 ratings"
Don't Believe Everything You Think (English) Paperback – 25 November 2022,Joseph Nguyen,Rs.Not found,Discount not found,MRP price not found,4.5,"4,638 ratings"
The Psychology of Money Paperback – 1 September 2020,Morgan Housel,Rs.Not found,Discount not found,MRP price not found,4.6,"60,197 ratings"
Waiting for Shiva: Unearthing the Truth of Kashi’s Gyan Vapi Hardcover – 28 February 2024,Vikram Sampath,Rs.Not found,Discount not found,MRP price not found,5.0,2 ratings
"PW NTA NEET Rankers Test Series - 2024 Based on the New Syllabus by NMC | 10 Full Syllabus + 4 Part Syllabus (Class 11th & 12th) | OMR Sheet, Detailed Solutions, Rank Predictor, State-wise College Cut-off Paperback – 30 October 2023",PW,Rs.Not found,Discount not found,MRP price not found,4.4,151 ratings
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing) Paperback – 1 January 2020,Wonder House Books,Rs.Not found,Discount not found,MRP price not found,4.4,"27,123 ratings"
