Product Title,Author Name,Product Price,Discount Percentage,Product MRP,Ratings of 5 stars,Number of Ratings
ANNI DESIGNER Women Kurta with Palazzo Product subtitle not found,Brand: ANNI DESIGNER,Rs.499,-81%,"Rs.2,599",4.3,108 ratings
Allen Solly Men's Regular Fit Polo Product subtitle not found,Visit the Allen Solly Store,Rs.699,-36%,"Rs.1,099",4.1,"67,759 ratings"
Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt (D-Crush-16-23) Product subtitle not found,Visit the Lymio Store,Rs.379,-91%,"Rs.3,999",4.5,166 ratings
Uptownie Lite Stretchable Round Neck Sleeveless Crop Top Product subtitle not found,Visit the Uptownie Lite Store,Rs.329,-79%,"Rs.1,599",4.0,31 ratings
Enamor SB06 Low Impact Cotton Sports Bra - Non-Padded • Wirefree - Black Product subtitle not found,Visit the Enamor Store,Rs.608,-24%,Rs.798,4.2,"16,245 ratings"
KSHS Women's Cotton Printed Night Suit Set of Top & Shorts Product subtitle not found,Brand: KSHS,Rs.480,-47%,Rs.899,4.2,169 ratings
ANNI DESIGNER Women Kurta with Palazzo Product subtitle not found,Brand: ANNI DESIGNER,Rs.499,-81%,"Rs.2,599",4.3,108 ratings
Allen Solly Men's Regular Fit Polo Product subtitle not found,Visit the Allen Solly Store,Rs.699,-36%,"Rs.1,099",4.1,"67,759 ratings"
HSR Women Waist Shapewear with Anti Rolling Strip Tummy Control Tucker Waist Slimming Panties Shapewear Underwear Waist Shapewear Product subtitle not found,Visit the HSR Store,Rs.287,-59%,Rs.699,4.1,"9,376 ratings"
PARTHVI Women's Printed Anarkali Kurta With Palazzo & Dupatta Set Product subtitle not found,Visit the PARTHVI Store,Rs.799,-73%,"Rs.2,999",3.9,203 ratings
NIFTY Women's Slim Fit Cotton Jeans Product subtitle not found,Brand: NIFTY,Rs.499,-62%,"Rs.1,299",3.8,"11,013 ratings"
Uptownie Lite Stretchable Round Neck Sleeveless Crop Top Product subtitle not found,Visit the Uptownie Lite Store,Rs.329,-79%,"Rs.1,599",4.0,31 ratings
